raw_text,clean_text
"Hati2 guys penipuan, kmrn saya di tlp no +62818000999 ngaku dr CS, jgn pcaya.",hati2 teman-teman penipuan kemarin saya di telepon no [HP_SENSOR]ngaku dr cs jangan pcaya
"sy lupa pin, tlg reset ke email admin.fake@hack.id atau wa ke 081234567890. urgent!!",saya lupa pin tlg reset ke email [EMAIL_SENSOR] atau wa ke [HP_SENSOR] urgent
"Bagus bgt aplikasinya, tp verifikasi ktp lama bgt. No tiket keluhan sy 85220.",bagus banget aplikasinya tapi verifikasi ktp lama banget no tiket keluhan saya 85220
"topup rp 44.000 jam segini lancar jaya, mantap min.",topup rp 44000 jam segini lancar jaya mantap min
Woi balikin duit gw 500rb!! jgn diem aja min.,woi balikin duit saya 500rb jangan diem saja min
"Admin tlg respon dm, sy udh kirim bukti trf ke email admin.fake@hack.id. Thx.",admin tlg respon dm saya udh kirim bukti trf ke email [EMAIL_SENSOR] terima kasih
"Topup Rp 71.000 jam segini lancar jaya, mantap min.",topup rp 71000 jam segini lancar jaya mantap min
Woi balikin duit gw 500rb!! jgn diem aja min.,woi balikin duit saya 500rb jangan diem saja min
"Admin tlg respon dm, sy udh kirim bukti trf ke email budi_geming@gmail.com. Thx.",admin tlg respon dm saya udh kirim bukti trf ke email [EMAIL_SENSOR] terima kasih
"topup rp 33.000 jam segini lancar jaya, mantap min.",topup rp 33000 jam segini lancar jaya mantap min
"aplikasi error trus nih, kecewa bgt. balikin duit gue! email gw siti.cantik123@yahoo.com",aplikasi error trus ini kecewa banget balikin duit saya email saya [EMAIL_SENSOR]
"aplikasi error trus nih, kecewa bgt. balikin duit gue! email gw user.disappointed@outlook.com",aplikasi error trus ini kecewa banget balikin duit saya email saya [EMAIL_SENSOR]
"hati2 guys penipuan, kmrn saya di tlp no +62818000999 ngaku dr cs, jgn pcaya.",hati2 teman-teman penipuan kemarin saya di telepon no [HP_SENSOR]ngaku dr cs jangan pcaya
"topup rp 42.000 jam segini lancar jaya, mantap min.",topup rp 42000 jam segini lancar jaya mantap min
gmn sih gopay?? topup via mbanking gagal mulu tp saldo kepotong. balikin woy!,gmn sih gopay topup via mbanking gagal melulu tapi saldo kepotong balikin woy
Gmn sih Mobile Banking?? topup via mbanking gagal mulu tp saldo kepotong. Balikin woy!,gmn sih mobile banking topup via mbanking gagal melulu tapi saldo kepotong balikin woy
"hati2 guys penipuan, kmrn saya di tlp no 0857-1122-3344 ngaku dr cs, jgn pcaya.",hati2 teman-teman penipuan kemarin saya di telepon no [HP_SENSOR]ngaku dr cs jangan pcaya
"topup rp 78.000 jam segini lancar jaya, mantap min.",topup rp 78000 jam segini lancar jaya mantap min
"Min, saldo gopay saya kok blm masuk?? pdhl udh transfer dr jam 7 pagi. Tolong cek no hp saya 0813 4455 6677",min saldo gopay saya kok belum masuk pdhl udh transfer dr jam 7 pagi tolong cek no hp saya [HP_SENSOR]
"Aplikasi error trus nih, kecewa bgt. Balikin duit gue! Email gw user.disappointed@outlook.com",aplikasi error trus ini kecewa banget balikin duit saya email saya [EMAIL_SENSOR]
"hati2 guys penipuan, kmrn saya di tlp no 081234567890 ngaku dr cs, jgn pcaya.",hati2 teman-teman penipuan kemarin saya di telepon no [HP_SENSOR]ngaku dr cs jangan pcaya
"Admin tlg respon dm, sy udh kirim bukti trf ke email siti.cantik123@yahoo.com. Thx.",admin tlg respon dm saya udh kirim bukti trf ke email [EMAIL_SENSOR] terima kasih
"Sy lupa pin, tlg reset ke email admin.fake@hack.id atau wa ke 081234567890. Urgent!!",saya lupa pin tlg reset ke email [EMAIL_SENSOR] atau wa ke [HP_SENSOR] urgent
"bagus bgt aplikasinya, tp verifikasi ktp lama bgt. no tiket keluhan sy 39750.",bagus banget aplikasinya tapi verifikasi ktp lama banget no tiket keluhan saya 39750
gmn sih mobile banking?? topup via mbanking gagal mulu tp saldo kepotong. balikin woy!,gmn sih mobile banking topup via mbanking gagal melulu tapi saldo kepotong balikin woy
"Admin tlg respon dm, sy udh kirim bukti trf ke email budi_geming@gmail.com. Thx.",admin tlg respon dm saya udh kirim bukti trf ke email [EMAIL_SENSOR] terima kasih
"tolong hapus akun saya dengan nik 3171234567890001, saya mau ganti nomor baru.",tolong hapus akun saya dengan nik [NIK_SENSOR] saya mau ganti nomor baru
"aplikasi error trus nih, kecewa bgt. balikin duit gue! email gw admin.fake@hack.id",aplikasi error trus ini kecewa banget balikin duit saya email saya [EMAIL_SENSOR]
Woi balikin duit gw 500rb!! jgn diem aja min.,woi balikin duit saya 500rb jangan diem saja min
gmn sih mobile banking?? topup via mbanking gagal mulu tp saldo kepotong. balikin woy!,gmn sih mobile banking topup via mbanking gagal melulu tapi saldo kepotong balikin woy
"bagus bgt aplikasinya, tp verifikasi ktp lama bgt. no tiket keluhan sy 72053.",bagus banget aplikasinya tapi verifikasi ktp lama banget no tiket keluhan saya 72053
"Sy lupa pin, tlg reset ke email admin.fake@hack.id atau wa ke 0813 4455 6677. Urgent!!",saya lupa pin tlg reset ke email [EMAIL_SENSOR] atau wa ke [HP_SENSOR] urgent
"tolong hapus akun saya dengan nik 3171234567890001, saya mau ganti nomor baru.",tolong hapus akun saya dengan nik [NIK_SENSOR] saya mau ganti nomor baru
gmn sih dana?? topup via mbanking gagal mulu tp saldo kepotong. balikin woy!,gmn sih dana topup via mbanking gagal melulu tapi saldo kepotong balikin woy
"aplikasi error trus nih, kecewa bgt. balikin duit gue! email gw user.disappointed@outlook.com",aplikasi error trus ini kecewa banget balikin duit saya email saya [EMAIL_SENSOR]
"Min, saldo gopay saya kok blm masuk?? pdhl udh transfer dr jam 7 pagi. Tolong cek no hp saya 0857-1122-3344",min saldo gopay saya kok belum masuk pdhl udh transfer dr jam 7 pagi tolong cek no hp saya [HP_SENSOR]
"min, saldo gopay saya kok blm masuk?? pdhl udh transfer dr jam 7 pagi. tolong cek no hp saya 081234567890",min saldo gopay saya kok belum masuk pdhl udh transfer dr jam 7 pagi tolong cek no hp saya [HP_SENSOR]
"Topup Rp 57.000 jam segini lancar jaya, mantap min.",topup rp 57000 jam segini lancar jaya mantap min
